net,length_um
mem\[0\]\[4\],10.86
mem\[6\]\[0\],10.82
_0471_,10.8
_0019_,10.78
mem\[13\]\[3\],10.76
mem\[3\]\[2\],10.745
_0456_,10.74
mem\[10\]\[7\],10.74
mem\[7\]\[4\],10.74
_0533_,10.7
_0326_,10.66
_0530_,10.66
_0078_,10.565
mem\[6\]\[3\],10.5
mem\[3\]\[5\],10.48
mem\[7\]\[0\],10.48
mem\[2\]\[4\],10.36
_0340_,10.32
mem\[14\]\[7\],10.28
_0413_,10.1
rd_en,10.08
mem\[12\]\[5\],10.02
_0321_,9.98
_0408_,9.94
mem\[0\]\[2\],9.94
rd_data[0],9.74
rd_data[2],9.74
rd_data[3],9.74
rd_data[4],9.74
rd_data[5],9.74
rd_data[6],9.74
rd_data[7],9.74
mem\[14\]\[1\],9.72
wr_rst,9.65
_0393_,9.64
_0032_,9.59
wr_ptr_gray_sync1\[1\],9.56
_0377_,9.52
_0439_,9.52
mem\[12\]\[4\],9.5
mem\[14\]\[6\],9.485
_0030_,9.46
mem\[10\]\[2\],9.445
_0437_,9.42
_0452_,9.42
mem\[13\]\[7\],9.42
mem\[15\]\[1\],9.36
_0420_,9.28
_0166_,9.245
_0228_,9.22
wr_data[3],9.18
mem\[12\]\[1\],9.16
mem\[0\]\[3\],9.12
mem\[13\]\[5\],9.1
_0546_,9.06
mem\[8\]\[7\],9.06
_0271_,9.04
_0025_,9.03
mem\[0\]\[5\],9.02
mem\[11\]\[6\],9.02
mem\[3\]\[1\],9
_0013_,8.89
net17,8.86
_0207_,8.78
mem\[13\]\[2\],8.78
mem\[6\]\[6\],8.78
_0241_,8.72
wr_data[4],8.69
_0130_,8.525
mem\[7\]\[1\],8.48
_0489_,8.46
_0480_,8.44
_0537_,8.44
mem\[11\]\[3\],8.44
mem\[15\]\[4\],8.44
mem\[4\]\[6\],8.44
mem\[5\]\[0\],8.44
mem\[7\]\[3\],8.44
mem\[7\]\[7\],8.44
mem\[9\]\[1\],8.44
rd_ptr_gray_sync2\[1\],8.44
_0305_,8.4
_0338_,8.4
_0401_,8.4
_0438_,8.4
mem\[12\]\[0\],8.32
mem\[1\]\[6\],8.32
mem\[3\]\[3\],8.32
_0272_,8.2
_0488_,8.14
_0341_,8.1
_0120_,8.065
_0269_,8.02
_0409_,8.02
_0236_,7.98
_0237_,7.98
_0314_,7.98
_0472_,7.98
_0514_,7.98
_0072_,7.88
_0505_,7.88
mem\[4\]\[5\],7.86
_0018_,7.74
_0064_,7.72
mem\[14\]\[5\],7.72
mem\[7\]\[6\],7.68
mem\[2\]\[0\],7.66
_0426_,7.64
wr_ptr_gray_sync1\[4\],7.64
_0535_,7.52
mem\[10\]\[4\],7.52
mem\[15\]\[6\],7.52
mem\[3\]\[7\],7.52
mem\[7\]\[5\],7.52
_0403_,7.48
_0218_,7.34
_0247_,7.3
mem\[2\]\[5\],7.22
rd_ptr_gray_sync1\[2\],7.22
mem\[1\]\[3\],7.2
_0308_,7.18
_0479_,7.18
_0536_,7.18
mem\[15\]\[0\],7.18
mem\[6\]\[7\],7.18
_0153_,7.155
_0360_,7.14
_0428_,7.14
_0491_,7.14
_0531_,7.14
_0364_,7.06
_0497_,7.06
mem\[2\]\[7\],7.06
mem\[4\]\[2\],7.06
mem\[12\]\[7\],7.035
mem\[6\]\[5\],6.985
_0261_,6.98
mem\[13\]\[4\],6.88
_0073_,6.825
_0086_,6.825
_0149_,6.815
mem\[7\]\[2\],6.78
_0461_,6.76
_0422_,6.74
_0257_,6.72
_0373_,6.72
_0459_,6.72
mem\[5\]\[4\],6.66
_0096_,6.645
_0121_,6.645
_0151_,6.645
_0170_,6.645
_0411_,6.64
_0432_,6.64
_0468_,6.64
_0478_,6.64
_0493_,6.64
_0495_,6.64
_0509_,6.64
_0503_,6.6
mem\[0\]\[1\],6.52
mem\[11\]\[5\],6.52
_0197_,6.42
_0162_,6.365
_0264_,6.3
_0506_,6.3
_0522_,6.3
mem\[11\]\[4\],6.3
mem\[1\]\[1\],6.3
wr_ptr_gray_sync1\[3\],6.3
_0534_,6.28
_0351_,6.26
_0375_,6.26
rd_ptr_gray_sync2\[0\],6.26
_0100_,6.225
_0441_,6.2
_0494_,6.2
_0331_,6.18
_0482_,6.18
_0532_,6.18
_0091_,6.175
_0418_,6.14
_0486_,6.14
_0526_,6.14
_0198_,6.135
_0148_,6.065
